"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  296P/Garradd",0.4773,1.831,25.20,263.68,350.03,5.17,2014-03-01.2,6.56,JFc,7293,0,333,,,,,
"  297P/Beshore",0.3086,2.409,10.26,98.29,131.82,4.56,2008-03-21.0,6.5,ETc,4838,1,569,,,,,
"  298P/Christensen",0.4125,2.051,8.02,57.12,95.62,4.93,2007-03-05.2,6.52,JFc,2608,2,145,,,,,
"  299P/Catalina-PANSTARRS",0.2817,3.149,10.48,271.63,323.90,5.62,2024-04-30.5,9.18,JFc,13760,0,823,,,,,
"  300P/Catalina",0.6916,0.832,5.68,95.69,222.87,4.57,2018-11-02.0,4.43,JFc,3356,0,148,,,-7.0e-11,,
"  301P/LINEAR-NEAT",0.5874,2.346,10.62,355.78,189.40,9.03,2001-01-30.6,13.6,JFc,4904,1,126,,,,,
"  302P/Lemmon-PANSTARRS",0.2299,3.294,6.03,121.76,208.19,5.26,2016-05-01.9,8.85,JFc,6295,0,409,,,,,
"  303P/NEAT",0.5104,2.485,7.07,348.22,356.55,7.67,2014-10-06.6,11.4,JFc,4113,1,246,,,,,
"  304P/Ory",0.5742,1.381,2.76,60.68,329.66,5.11,2008-10-19.7,5.84,JFc,6712,0,1496,,2.5e-10,2.6e-10,,
"  305P/Skiff",0.6945,1.420,11.60,240.45,146.98,7.87,2014-11-18.8,10,JFc,7339,0,895,,7.9e-10,-6.0e-11,,
"  306P/LINEAR",0.5983,1.247,8.36,341.50,0.77,4.96,2003-08-13.9,5.47,JFc,4156,0,343,,,,,
"  307P/LINEAR",0.6747,1.889,4.42,158.12,222.11,9.72,2014-12-20.0,14,JFc,5293,0,220,,,,,
"  308P/Lagerkvist-Carsenty",0.3622,4.257,4.84,63.14,333.65,9.09,2015-05-13.7,17.2,JFc,6758,1,369,,,,,
"  309P/LINEAR",0.6078,1.744,17.67,11.45,50.78,7.15,2015-02-16.3,9.38,JFc,6709,0,433,,,,,
"  310P/Hill",0.4261,2.388,13.19,8.96,31.64,5.93,2015-04-19.0,8.49,JFc,6411,0,583,,,,,
"  311P/PANSTARRS",0.1157,1.936,4.97,279.26,144.00,2.44,2017-07-10.6,3.24,ETc,6924,0,268,,,,,
"  312P/NEAT",0.4302,1.971,19.79,144.89,207.69,4.95,2020-09-24.7,6.43,JFc,7082,1,161,,,,,
"  313P/Gibbs",0.2416,2.392,10.97,106.50,253.54,3.92,2014-08-28.5,5.6,ETc,6293,0,166,,,,,
"  314P/Montani",0.4160,4.249,3.98,267.70,213.41,10.30,2016-10-07.8,19.6,JFc,7589,0,384,,,,,
"  315P/LONEOS",0.5163,2.430,17.91,69.60,66.94,7.62,2016-12-07.4,11.3,JFc,4971,0,2346,,,,,
"  316P/LONEOS-Christensen",0.1665,3.607,9.88,246.93,191.77,5.05,2006-11-07.7,9,JFc,3354,2,111,,,,,
"  317P/WISE",0.5802,1.241,11.96,275.69,334.74,4.67,2015-08-08.4,5.08,JFc,5301,1,93,,,,,
"  318P/McNaught-Hartley",0.6752,2.445,17.89,35.75,313.18,12.61,2015-10-21.0,20.7,JFc,8165,0,442,,,,,
"  319P/Catalina-McNaught",0.6650,1.197,15.07,111.37,203.68,5.95,2015-07-01.9,6.75,JFc,2803,0,369,,,,,
"  320P/McNaught",0.6824,0.985,4.89,295.96,0.67,5.22,2010-02-21.0,5.47,JFc,4055,0,121,,,,,
"  321P/SOHO",0.9807,0.047,19.74,165.27,172.41,4.81,2004-12-07.8,3.78,JFc,5539,3,91,,,-1.8e-12,,
"  322P/SOHO",0.9787,0.054,12.59,359.52,49.05,4.98,2015-09-04.0,3.99,JFc,5817,2,318,,,,,
